	O	[11, 34, 8, 4, 36, 21, 35, 27, 12, 38, 24, 47, 14, 10, 6, 41, 18, 39, 7, 37, 9, 40, 29, 42, 3, 48, 16, 43, 19, 28, 20, 49, 2, 31, 15, 45, 25, 5, 17, 30, 22, 32, 26, 46, 33, 1, 0, 23, 44, 13]
	B-ORG	[15, 46, 30, 13, 44, 31, 40, 45, 47, 22, 3, 28, 49, 21, 42, 32, 26, 1, 6, 18, 8, 36, 25, 43, 12, 24, 7, 38, 11, 35, 39, 16, 33, 9, 20, 29, 5, 41, 17, 19, 14, 10, 23, 37, 0, 48, 2, 34, 27, 4]
	B-MISC	[37, 10, 33, 27, 48, 17, 49, 13, 0, 11, 32, 21, 44, 4, 22, 26, 38, 20, 16, 2, 39, 31, 5, 9, 6, 34, 19, 28, 42, 30, 25, 36, 46, 3, 45, 1, 12, 23, 15, 35, 7, 29, 18, 47, 43, 41, 24, 40, 8, 14]
	B-PER	[25, 32, 23, 17, 1, 18, 6, 26, 3, 5, 48, 22, 20, 27, 44, 30, 10, 4, 13, 11, 12, 45, 9, 16, 35, 34, 31, 15, 28, 36, 14, 29, 43, 39, 8, 47, 24, 41, 49, 0, 46, 42, 33, 19, 37, 2, 40, 21, 7, 38]
	I-PER	[48, 17, 23, 26, 43, 22, 31, 32, 1, 5, 13, 46, 18, 30, 37, 10, 19, 28, 44, 33, 40, 20, 25, 45, 3, 11, 29, 36, 16, 34, 4, 8, 24, 38, 35, 39, 15, 47, 0, 12, 14, 49, 6, 2, 42, 9, 21, 27, 41, 7]
	B-LOC	[27, 9, 46, 40, 2, 37, 13, 23, 44, 14, 21, 22, 3, 31, 43, 8, 19, 33, 32, 4, 16, 25, 7, 1, 0, 29, 35, 26, 11, 49, 39, 28, 6, 36, 30, 42, 47, 24, 38, 20, 45, 12, 34, 10, 41, 18, 48, 5, 17, 15]
	I-ORG	[13, 30, 44, 46, 32, 33, 19, 20, 42, 7, 41, 8, 49, 35, 43, 22, 31, 26, 45, 1, 36, 5, 40, 0, 38, 29, 12, 21, 47, 28, 24, 9, 3, 16, 25, 23, 17, 48, 34, 14, 15, 2, 10, 37, 27, 39, 18, 6, 4, 11]
	I-MISC	[0, 43, 42, 13, 46, 22, 17, 49, 20, 11, 21, 3, 10, 19, 41, 5, 15, 33, 44, 48, 38, 25, 4, 29, 16, 1, 26, 9, 7, 28, 30, 32, 45, 37, 23, 12, 18, 40, 31, 8, 2, 14, 27, 39, 35, 6, 24, 36, 47, 34]
	I-LOC	[23, 43, 13, 41, 7, 32, 44, 0, 34, 2, 46, 22, 20, 14, 16, 29, 35, 26, 9, 1, 30, 8, 31, 28, 36, 4, 15, 3, 42, 12, 38, 45, 21, 5, 37, 48, 19, 17, 49, 6, 33, 25, 40, 39, 47, 24, 27, 18, 10, 11]

